[INFO]: ..........................START........................
[INFO]: ..........................START........................
[INFO]: Candle:2023-06-09 13:27:00 , Open:18593.85 , High:18595.05 , Low:18591.4 , Close:18593.25
[INFO]: Candle:2023-06-09 13:28:00 , Open:18593.45 , High:18595.6 , Low:18592.25 , Close:18593.45
[INFO]: Candle:2023-06-09 13:29:00 , Open:18593.7 , High:18593.8 , Low:18587.4 , Close:18588.85
[INFO]: Candle:2023-06-09 13:30:00 , Open:18588.7 , High:18590.25 , Low:18587.5 , Close:18588.5
[INFO]: Candle:2023-06-09 13:31:00 , Open:18588.3 , High:18592.85 , Low:18587.8 , Close:18590.4
[INFO]: Candle:2023-06-09 13:32:00 , Open:18590.7 , High:18591.7 , Low:18588.65 , Close:18588.65
[INFO]: Candle:2023-06-09 13:33:00 , Open:18589.35 , High:18590.65 , Low:18588.4 , Close:18589.0
[INFO]: Candle:2023-06-09 13:34:00 , Open:18588.9 , High:18592.1 , Low:18588.4 , Close:18588.4
[INFO]: Candle:2023-06-09 13:35:00 , Open:18588.6 , High:18591.15 , Low:18587.2 , Close:18590.3
[INFO]: Candle:2023-06-09 13:36:00 , Open:18590.45 , High:18591.65 , Low:18588.45 , Close:18588.45
[INFO]: Candle:2023-06-09 13:37:00 , Open:18588.45 , High:18588.9 , Low:18584.8 , Close:18586.8
[INFO]: Candle:2023-06-09 13:38:00 , Open:18586.35 , High:18588.75 , Low:18585.8 , Close:18587.9
[INFO]: Candle:2023-06-09 13:39:00 , Open:18588.05 , High:18590.55 , Low:18586.6 , Close:18589.75
[INFO]: Candle:2023-06-09 13:40:00 , Open:18590.35 , High:18596.95 , Low:18589.5 , Close:18594.65
[INFO]: Candle:2023-06-09 13:41:00 , Open:18594.35 , High:18600.75 , Low:18594.0 , Close:18597.55
[INFO]: Candle:2023-06-09 13:42:00 , Open:18598.4 , High:18600.25 , Low:18596.85 , Close:18599.45
[INFO]: Candle:2023-06-09 13:43:00 , Open:18599.2 , High:18603.95 , Low:18598.65 , Close:18601.5
[INFO]: Candle:2023-06-09 13:44:00 , Open:18602.0 , High:18602.9 , Low:18598.4 , Close:18599.3
[INFO]: Candle:2023-06-09 13:45:00 , Open:18599.7 , High:18601.25 , Low:18598.7 , Close:18600.55
[INFO]: Candle:2023-06-09 13:46:00 , Open:18601.05 , High:18601.9 , Low:18599.45 , Close:18600.25
[INFO]: Candle:2023-06-09 13:47:00 , Open:18600.45 , High:18600.85 , Low:18597.95 , Close:18599.45
[INFO]: Candle:2023-06-09 13:48:00 , Open:18599.2 , High:18603.9 , Low:18599.2 , Close:18602.75
